Block,treat,Treat,year,plot,N.of.Ind,S,H,J,Hstr,ba,vol
3,T1,L,1989,305,133,58,3.751693257,0.92396156,2.002081412,7.279066776,78.7061459
3,T1,L,1989,306,152,64,3.751558769,0.902059205,1.880335457,6.65873274,68.3177855
4,T1,L,1989,401,151,76,3.998054502,0.92318187,1.828161641,6.721622057,67.42107653
1,T1,L,1995,110,125,54,3.540186383,0.887490735,2.016879763,5.761064512,59.44360568
1,T1,L,1995,111,153,54,3.303269949,0.82809806,1.617537237,5.913223198,55.54738797
1,T1,L,1995,112,124,63,3.859901203,0.931637868,1.670935702,4.739603118,44.68954296
2,T1,L,1995,204,136,62,3.736801362,0.905422749,1.843181435,6.541196839,67.2211121
2,T1,L,1995,205,140,48,3.39633721,0.877334244,1.657514396,9.263687752,105.644602
2,T1,L,1995,206,124,59,3.712775459,0.91054356,1.779873681,8.133200278,92.64484064
3,T1,L,1995,304,150,66,3.56829699,0.851692373,2.013795244,7.880208015,82.89608225
3,T1,L,1995,305,141,58,3.748451584,0.923163205,1.849762363,6.526011118,65.94454826
3,T1,L,1995,306,155,64,3.752019209,0.902169918,1.962209815,6.829956218,69.71041918
4,T1,L,1995,401,147,76,3.990278448,0.921386318,1.739376212,7.118785482,72.14652714
1,T1,L,2003,110,137,52,3.501711863,0.886230289,1.965602839,6.167712435,63.46687105
1,T1,L,2003,111,134,55,3.426242995,0.854993293,1.648650227,5.956505018,58.4991045
1,T1,L,2003,112,126,65,3.95558424,0.947584396,1.831425656,5.356387156,52.80203857
2,T1,L,2003,204,129,62,3.740202513,0.906246844,1.706376687,6.038026398,60.49924294
2,T1,L,2003,205,136,47,3.40717599,0.88494685,1.863610949,9.029842758,102.4550529
2,T1,L,2003,206,115,57,3.648865686,0.902502948,1.826571496,7.615972753,88.18665923
3,T1,L,2003,304,158,66,3.515833923,0.839170323,1.918989862,8.729430408,93.17148539
3,T1,L,2003,305,150,62,3.799628538,0.920645703,1.870898953,7.4996825,77.40057976
3,T1,L,2003,306,147,63,3.755679344,0.906482553,1.971993433,7.292713117,76.47396991
4,T1,L,2003,401,124,68,3.973607752,0.94172307,1.854240245,6.905081292,72.33457576
1,T1,L,2008,110,137,50,3.442077701,0.879871539,1.795864346,5.770817606,57.90626746
1,T1,L,2008,111,131,59,3.626577764,0.889403914,1.674290532,6.289575095,63.3894387
1,T1,L,2008,112,128,65,3.928090137,0.940998016,1.864266186,5.79372773,58.35569394
2,T1,L,2008,204,138,70,3.898959357,0.917727133,1.71987186,6.363697228,63.70227914
2,T1,L,2008,205,131,48,3.4089922,0.880603252,1.698367757,9.298396935,107.533115
2,T1,L,2008,206,112,57,3.641955188,0.900793719,1.820169172,7.975502954,93.74098453
3,T1,L,2008,304,157,68,3.565234735,0.844940923,1.920165112,9.234355431,100.3061009
3,T1,L,2008,305,155,64,3.846797029,0.924959166,1.903215543,8.204597067,85.66987473
3,T1,L,2008,306,146,64,3.763952219,0.9050392,2.018061326,7.792606862,82.37991529
4,T1,L,2008,401,129,68,3.960659061,0.938654302,1.905661072,7.759880023,83.55169601
1,T1,L,2012,110,137,47,3.422359891,0.888890569,1.774984321,6.031421971,61.03741078
1,T1,L,2012,111,124,57,3.655420345,0.904124163,1.672148989,5.569159878,55.20293604
1,T1,L,2012,112,124,67,3.990865023,0.949145487,1.900985407,5.604349727,57.14452768
2,T1,L,2012,204,134,69,3.931137254,0.928445529,1.676841247,5.786692116,57.21592047
2,T1,L,2012,205,127,48,3.407368536,0.880183831,1.715664843,8.859976448,102.6742252
2,T1,L,2012,206,103,55,3.619732627,0.903277182,1.823994264,7.808291292,93.41998589
3,T1,L,2012,304,151,67,3.553842677,0.845208675,2.001948976,9.336475492,102.6588077
3,T1,L,2012,305,146,61,3.786539471,0.921103297,1.857590493,6.980270776,71.58981981
3,T1,L,2012,306,147,64,3.749687256,0.901609202,2.018737164,8.099985714,87.03680164
4,T1,L,2012,401,128,67,3.967739728,0.943645609,1.906985951,7.338360557,77.84437498
2,T2,LLTI,1983,207,130,61,3.756138379,0.91370801,1.781087692,7.221247202,77.36274444
2,T2,LLTI,1983,208,129,58,3.721204872,0.916452924,1.792722229,5.859586658,59.70028378
2,T2,LLTI,1983,209,131,54,3.580951983,0.897710279,1.533753348,5.434613789,51.79635009
3,T2,LLTI,1983,303,114,49,3.495456052,0.898154536,1.552154186,4.375907145,41.12342011
4,T2,LLTI,1983,407,101,64,3.910505288,0.940277765,1.896466019,6.543350399,72.64127461
4,T2,LLTI,1983,408,96,40,3.236744668,0.877433028,1.917093782,6.800768389,76.2205594
4,T2,LLTI,1983,409,132,66,3.852648339,0.91956225,1.555166023,4.95049873,46.79563405
2,T2,LLTI,1987,207,133,61,3.788623755,0.921610314,1.851400236,7.655391194,82.91317335
2,T2,LLTI,1987,208,128,60,3.749596461,0.915798952,1.758620954,6.078311913,62.5349533
2,T2,LLTI,1987,209,146,58,3.654143389,0.89993712,1.571033256,6.074327576,58.03248713
3,T2,LLTI,1987,303,120,51,3.515623893,0.894145423,1.563611581,4.727869246,45.04862344
4,T2,LLTI,1987,407,113,65,3.886565555,0.931050548,1.90449948,6.772587454,73.95718852
4,T2,LLTI,1987,408,105,44,3.362744064,0.888629902,1.932279899,7.326456244,82.01108467
4,T2,LLTI,1987,409,131,67,3.880381545,0.922869255,1.783358604,5.472030231,53.84126288
2,T2,LLTI,1989,207,141,64,3.853508335,0.926572894,1.865615607,8.123002646,87.93188143
2,T2,LLTI,1989,208,126,60,3.756755113,0.917547377,1.818885784,6.32769448,65.98039548
2,T2,LLTI,1989,209,149,57,3.668986807,0.907479664,1.531576606,6.294428863,60.05267763
3,T2,LLTI,1989,303,128,52,3.513337554,0.889172576,1.681031121,5.211220104,50.31798413
4,T2,LLTI,1989,407,120,64,3.830925601,0.921142894,1.908782956,7.173029147,78.28425909
4,T2,LLTI,1989,408,124,52,3.505943981,0.887301374,1.920401946,7.234956361,78.67180668
4,T2,LLTI,1989,409,136,68,3.864388748,0.91583877,1.788149282,5.760769208,56.94323913
2,T2,LLTI,1995,207,142,64,3.867985265,0.93005386,1.932715838,8.602515263,93.96224029
2,T2,LLTI,1995,208,113,55,3.690957269,0.921050758,1.938802021,6.323065334,67.8858004
2,T2,LLTI,1995,209,143,58,3.736206304,0.920147455,1.594634288,6.698126033,66.01182771
3,T2,LLTI,1995,303,132,53,3.502440764,0.882162027,1.803496068,5.833651178,57.58681535
4,T2,LLTI,1995,407,129,64,3.79067996,0.911465863,1.886483182,7.313892199,78.72231476
4,T2,LLTI,1995,408,129,52,3.508744862,0.888010235,1.850883679,7.374071908,79.41210104
4,T2,LLTI,1995,409,130,65,3.823859604,0.916028954,1.838307691,6.036403766,61.22622636
2,T2,LLTI,2003,207,136,66,3.902738251,0.931517868,2.019666515,9.30200271,104.2872316
2,T2,LLTI,2003,208,110,53,3.651475278,0.919699447,1.854454341,5.927086289,62.59021946
2,T2,LLTI,2003,209,137,56,3.691766657,0.917128972,1.592025473,7.344509452,75.1397548
3,T2,LLTI,2003,303,126,56,3.586006269,0.890855395,1.831484838,6.310695286,65.3259378
4,T2,LLTI,2003,407,126,64,3.828838228,0.920640987,1.923005958,7.883275781,86.31430222
4,T2,LLTI,2003,408,127,49,3.428757262,0.881016337,2.019387045,8.32967437,91.59546007
4,T2,LLTI,2003,409,149,68,3.845884359,0.911453333,1.659671362,6.323004863,61.72378593
2,T2,LLTI,2008,207,136,63,3.856081549,0.930715944,2.051107609,9.835454248,112.1409794
2,T2,LLTI,2008,208,112,53,3.665108708,0.923133308,1.91253955,6.186736387,65.7509265
2,T2,LLTI,2008,209,136,58,3.726810661,0.91783351,1.725776004,7.726761277,80.20312535
3,T2,LLTI,2008,303,126,57,3.603897779,0.891380678,1.843820104,6.9495742,73.9315054
4,T2,LLTI,2008,407,130,68,3.902308101,0.924825447,2.02562438,8.616804837,96.24978061
4,T2,LLTI,2008,408,122,48,3.448879889,0.890906951,2.025354785,8.845410424,99.27919926
4,T2,LLTI,2008,409,153,70,3.884530609,0.914330931,1.77769433,7.006151278,69.78978718
2,T2,LLTI,2012,207,133,63,3.865655437,0.933026728,2.058717422,10.05274379,115.9194574
2,T2,LLTI,2012,208,112,54,3.701480659,0.927925661,1.936806154,5.967270491,63.55874604
2,T2,LLTI,2012,209,129,60,3.766910875,0.920027814,1.787098216,6.982081904,72.50852821
3,T2,LLTI,2012,303,123,57,3.638871553,0.900031019,1.982651054,5.24192139,51.22651458
4,T2,LLTI,2012,407,128,69,3.940769534,0.930720455,1.968967451,8.615889844,97.15930404
4,T2,LLTI,2012,408,117,46,3.433157946,0.896703972,2.022004699,8.430770279,95.40982786
4,T2,LLTI,2012,409,148,70,3.900577404,0.918107984,1.81591088,7.195025059,73.18627247
